日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2016/02/04 07:00:00,117.864,117.882,117.861,117.882,117.935,117.948,117.906,117.906
2016/02/04 07:01:00,117.882,117.883,117.866,117.883,117.906,117.939,117.905,117.907
2016/02/04 07:02:00,117.883,117.895,117.883,117.888,117.907,117.925,117.901,117.924
2016/02/04 07:03:00,117.888,117.893,117.884,117.89,117.924,117.929,117.908,117.914
2016/02/04 07:04:00,117.89,117.897,117.886,117.897,117.914,117.934,117.906,117.921
2016/02/04 07:05:00,117.897,117.91,117.895,117.906,117.921,117.925,117.912,117.921
2016/02/04 07:06:00,117.906,117.915,117.904,117.915,117.921,117.93,117.919,117.93
2016/02/04 07:07:00,117.915,117.943,117.915,117.942,117.93,117.967,117.93,117.966
2016/02/04 07:08:00,117.942,117.947,117.934,117.944,117.966,117.967,117.956,117.959
2016/02/04 07:09:00,117.944,117.956,117.94,117.954,117.959,117.977,117.957,117.969
2016/02/04 07:10:00,117.954,117.961,117.951,117.956,117.969,117.969,117.962,117.963
2016/02/04 07:11:00,117.956,117.958,117.954,117.956,117.963,117.965,117.961,117.963
2016/02/04 07:12:00,117.956,117.987,117.953,117.98,117.963,117.994,117.96,117.987
2016/02/04 07:13:00,117.98,117.982,117.946,117.974,117.987,118.003,117.967,117.981
2016/02/04 07:14:00,117.974,117.983,117.972,117.983,117.981,117.99,117.979,117.99
2016/02/04 07:15:00,117.983,117.983,117.975,117.979,117.99,117.99,117.982,117.986
2016/02/04 07:16:00,117.979,117.993,117.978,117.992,117.986,118,117.985,117.999
2016/02/04 07:17:00,117.992,117.993,117.983,117.991,117.999,118,117.99,117.998
2016/02/04 07:18:00,117.991,117.995,117.99,117.995,117.998,118.002,117.997,118.002
2016/02/04 07:19:00,117.995,117.997,117.98,117.986,118.002,118.004,117.987,117.993
2016/02/04 07:20:00,117.986,118.001,117.975,118,117.993,118.008,117.993,118.007
2016/02/04 07:21:00,118,118.024,117.996,118.024,118.007,118.031,118.003,118.031
2016/02/04 07:22:00,118.024,118.037,118.022,118.026,118.031,118.044,118.029,118.033
2016/02/04 07:23:00,118.026,118.035,118.026,118.028,118.033,118.042,118.033,118.035
2016/02/04 07:24:00,118.028,118.059,118.028,118.058,118.035,118.066,118.035,118.065
2016/02/04 07:25:00,118.058,118.06,118.045,118.052,118.065,118.067,118.052,118.059
2016/02/04 07:26:00,118.052,118.052,118.048,118.051,118.059,118.059,118.055,118.058
2016/02/04 07:27:00,118.051,118.051,118.029,118.034,118.058,118.076,118.038,118.075
2016/02/04 07:28:00,118.034,118.045,118.034,118.04,118.075,118.078,118.068,118.071
2016/02/04 07:29:00,118.04,118.056,118.036,118.052,118.071,118.081,118.059,118.059
2016/02/04 07:30:00,118.052,118.058,118.037,118.042,118.059,118.077,118.045,118.049
2016/02/04 07:31:00,118.042,118.054,118.039,118.043,118.049,118.061,118.046,118.05
2016/02/04 07:32:00,118.043,118.055,118.031,118.048,118.05,118.07,118.048,118.055
2016/02/04 07:33:00,118.048,118.055,118.038,118.054,118.055,118.072,118.05,118.061
2016/02/04 07:34:00,118.054,118.056,118.052,118.052,118.061,118.063,118.059,118.059
2016/02/04 07:35:00,118.052,118.054,118.028,118.034,118.059,118.071,118.04,118.041
2016/02/04 07:36:00,118.034,118.046,118.029,118.041,118.041,118.059,118.036,118.048
2016/02/04 07:37:00,118.041,118.046,118.032,118.032,118.048,118.053,118.039,118.039
2016/02/04 07:38:00,118.032,118.039,118.027,118.031,118.039,118.046,118.034,118.038
2016/02/04 07:39:00,118.031,118.039,118.025,118.033,118.038,118.074,118.038,118.066
2016/02/04 07:40:00,118.033,118.04,118.031,118.039,118.066,118.066,118.044,118.046
2016/02/04 07:41:00,118.039,118.04,118.036,118.04,118.046,118.047,118.043,118.047
2016/02/04 07:42:00,118.04,118.04,118.035,118.036,118.047,118.047,118.042,118.043
2016/02/04 07:43:00,118.036,118.037,117.995,117.997,118.043,118.044,118.01,118.023
2016/02/04 07:44:00,117.997,118.016,117.994,118.001,118.023,118.026,118.005,118.008
2016/02/04 07:45:00,118.001,118.016,117.993,118.009,118.008,118.029,118.008,118.016
2016/02/04 07:46:00,118.009,118.018,118.007,118.016,118.016,118.025,118.014,118.023
2016/02/04 07:47:00,118.016,118.022,118.005,118.017,118.023,118.036,118.023,118.024
2016/02/04 07:48:00,118.017,118.032,118.013,118.032,118.024,118.048,118.02,118.039
2016/02/04 07:49:00,118.032,118.036,118.023,118.025,118.039,118.043,118.03,118.032
2016/02/04 07:50:00,118.025,118.025,118.011,118.015,118.032,118.032,118.018,118.022
2016/02/04 07:51:00,118.015,118.052,118.014,118.052,118.022,118.073,118.021,118.059
2016/02/04 07:52:00,118.052,118.052,118.046,118.05,118.059,118.059,118.053,118.057
2016/02/04 07:53:00,118.05,118.052,118.039,118.041,118.057,118.07,118.056,118.067
2016/02/04 07:54:00,118.041,118.052,118.036,118.039,118.067,118.07,118.051,118.064
2016/02/04 07:55:00,118.039,118.053,118.034,118.046,118.064,118.066,118.05,118.053
2016/02/04 07:56:00,118.046,118.061,118.035,118.057,118.053,118.07,118.052,118.064
2016/02/04 07:57:00,118.057,118.06,118.054,118.058,118.064,118.067,118.061,118.065
2016/02/04 07:58:00,118.058,118.064,118.055,118.064,118.065,118.071,118.062,118.071
2016/02/04 07:59:00,118.064,118.065,118.052,118.057,118.071,118.072,118.059,118.064
2016/02/04 08:00:00,118.057,118.057,117.957,117.98,118.064,118.064,117.983,118.005
2016/02/04 08:01:00,117.98,117.983,117.953,117.968,118.005,118.008,117.974,117.975
2016/02/04 08:02:00,117.968,117.971,117.942,117.945,117.975,117.978,117.957,117.971
2016/02/04 08:03:00,117.945,117.961,117.935,117.942,117.971,117.975,117.947,117.949
2016/02/04 08:04:00,117.942,117.957,117.919,117.934,117.949,117.968,117.938,117.941
2016/02/04 08:05:00,117.934,117.968,117.929,117.966,117.941,117.978,117.94,117.973
2016/02/04 08:06:00,117.966,117.967,117.95,117.956,117.973,117.977,117.963,117.963
2016/02/04 08:07:00,117.956,117.961,117.921,117.93,117.963,117.968,117.937,117.937
2016/02/04 08:08:00,117.93,117.951,117.929,117.947,117.937,117.97,117.936,117.954
2016/02/04 08:09:00,117.947,117.951,117.923,117.945,117.954,117.958,117.93,117.952
2016/02/04 08:10:00,117.945,117.961,117.928,117.928,117.952,117.968,117.935,117.935
2016/02/04 08:11:00,117.928,117.928,117.906,117.916,117.935,117.942,117.917,117.923
2016/02/04 08:12:00,117.916,117.932,117.916,117.929,117.923,117.939,117.923,117.936
2016/02/04 08:13:00,117.929,117.952,117.925,117.942,117.936,117.959,117.936,117.949
2016/02/04 08:14:00,117.942,117.942,117.929,117.932,117.949,117.949,117.936,117.939
2016/02/04 08:15:00,117.932,117.949,117.922,117.948,117.939,117.962,117.93,117.955
2016/02/04 08:16:00,117.948,117.959,117.948,117.948,117.955,117.966,117.955,117.955
2016/02/04 08:17:00,117.948,117.95,117.945,117.948,117.955,117.957,117.952,117.955
2016/02/04 08:18:00,117.948,117.953,117.948,117.951,117.955,117.96,117.955,117.958
2016/02/04 08:19:00,117.951,117.954,117.948,117.948,117.958,117.961,117.955,117.955
2016/02/04 08:20:00,117.948,117.95,117.912,117.915,117.955,117.957,117.919,117.922
2016/02/04 08:21:00,117.915,117.96,117.915,117.944,117.922,117.978,117.922,117.951
2016/02/04 08:22:00,117.944,117.954,117.932,117.953,117.951,117.961,117.949,117.96
2016/02/04 08:23:00,117.953,117.962,117.948,117.953,117.96,117.969,117.955,117.96
2016/02/04 08:24:00,117.953,117.968,117.953,117.968,117.96,117.985,117.96,117.975
2016/02/04 08:25:00,117.968,118.004,117.968,117.985,117.975,118.011,117.975,117.992
2016/02/04 08:26:00,117.985,117.991,117.982,117.991,117.992,117.998,117.989,117.998
2016/02/04 08:27:00,117.991,118.053,117.991,118.044,117.998,118.06,117.998,118.051
2016/02/04 08:28:00,118.044,118.067,118.041,118.067,118.051,118.074,118.048,118.074
2016/02/04 08:29:00,118.067,118.073,118.058,118.071,118.074,118.08,118.065,118.078
2016/02/04 08:30:00,118.071,118.106,118.068,118.104,118.078,118.113,118.075,118.111
2016/02/04 08:31:00,118.104,118.105,118.075,118.078,118.111,118.112,118.082,118.085
2016/02/04 08:32:00,118.078,118.079,118.071,118.071,118.085,118.086,118.078,118.078
2016/02/04 08:33:00,118.071,118.073,118.065,118.07,118.078,118.08,118.072,118.077
2016/02/04 08:34:00,118.07,118.07,118.067,118.069,118.077,118.077,118.074,118.076
2016/02/04 08:35:00,118.069,118.102,118.063,118.093,118.076,118.109,118.07,118.1
