日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2016/03/09 07:00:00,124.009,124.009,123.994,123.997,124.034,124.043,124.019,124.037
2016/03/09 07:01:00,123.997,124.009,123.995,124.009,124.037,124.049,124.035,124.049
2016/03/09 07:02:00,124.009,124.012,124.007,124.012,124.049,124.052,124.047,124.052
2016/03/09 07:03:00,124.012,124.02,124.009,124.016,124.052,124.052,124.041,124.041
2016/03/09 07:04:00,124.016,124.023,124.01,124.022,124.041,124.063,124.041,124.062
2016/03/09 07:05:00,124.022,124.031,124.004,124.007,124.062,124.065,124.044,124.047
2016/03/09 07:06:00,124.007,124.019,124.006,124.018,124.047,124.059,124.046,124.058
2016/03/09 07:07:00,124.018,124.03,124.016,124.029,124.058,124.071,124.057,124.071
2016/03/09 07:08:00,124.029,124.033,124.014,124.014,124.071,124.073,124.056,124.056
2016/03/09 07:09:00,124.014,124.017,124.009,124.015,124.056,124.057,124.05,124.055
2016/03/09 07:10:00,124.015,124.041,124.014,124.02,124.055,124.055,124.025,124.025
2016/03/09 07:11:00,124.02,124.034,124.02,124.03,124.025,124.039,124.025,124.035
2016/03/09 07:12:00,124.03,124.032,124.017,124.028,124.035,124.037,124.022,124.033
2016/03/09 07:13:00,124.028,124.032,124.024,124.028,124.033,124.037,124.029,124.033
2016/03/09 07:14:00,124.028,124.034,124.016,124.02,124.033,124.039,124.021,124.025
2016/03/09 07:15:00,124.02,124.023,124.016,124.022,124.025,124.028,124.021,124.027
2016/03/09 07:16:00,124.022,124.022,124.012,124.017,124.027,124.027,124.017,124.022
2016/03/09 07:17:00,124.017,124.02,124.011,124.012,124.022,124.025,124.016,124.017
2016/03/09 07:18:00,124.012,124.017,124.01,124.013,124.017,124.022,124.015,124.018
2016/03/09 07:19:00,124.013,124.023,124.01,124.019,124.018,124.028,124.015,124.024
2016/03/09 07:20:00,124.019,124.024,124.013,124.023,124.024,124.029,124.018,124.028
2016/03/09 07:21:00,124.023,124.025,124.011,124.013,124.028,124.03,124.016,124.018
2016/03/09 07:22:00,124.013,124.022,124.009,124.022,124.018,124.027,124.014,124.027
2016/03/09 07:23:00,124.022,124.027,124.021,124.024,124.027,124.032,124.026,124.029
2016/03/09 07:24:00,124.024,124.029,124.018,124.029,124.029,124.034,124.023,124.034
2016/03/09 07:25:00,124.029,124.029,124.023,124.027,124.034,124.034,124.028,124.032
2016/03/09 07:26:00,124.027,124.03,124.023,124.024,124.032,124.035,124.028,124.029
2016/03/09 07:27:00,124.024,124.028,124.024,124.026,124.029,124.033,124.029,124.031
2016/03/09 07:28:00,124.026,124.03,124.003,124.015,124.031,124.056,124.02,124.02
2016/03/09 07:29:00,124.015,124.024,124.015,124.018,124.02,124.029,124.02,124.023
2016/03/09 07:30:00,124.018,124.018,124.006,124.008,124.023,124.023,124.011,124.013
2016/03/09 07:31:00,124.008,124.022,124.004,124.017,124.013,124.027,124.009,124.022
2016/03/09 07:32:00,124.017,124.021,124.011,124.014,124.022,124.026,124.016,124.019
2016/03/09 07:33:00,124.014,124.014,124.001,124.001,124.019,124.019,124.006,124.006
2016/03/09 07:34:00,124.001,124.004,124.001,124.003,124.006,124.009,124.006,124.008
