日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2016/06/09 06:00:00,121.868,122.019,121.826,121.97,121.947,122.075,121.947,122.023
2016/06/09 06:01:00,121.97,122.022,121.928,122.022,122.023,122.065,121.996,122.065
2016/06/09 06:02:00,122.022,122.029,121.788,121.867,122.065,122.065,121.881,121.987
2016/06/09 06:03:00,121.867,121.867,121.852,121.852,121.987,121.987,121.931,121.931
2016/06/09 06:04:00,121.852,121.93,121.852,121.909,121.931,121.984,121.931,121.97
2016/06/09 06:05:00,121.909,121.914,121.862,121.862,121.97,121.971,121.912,121.915
2016/06/09 06:06:00,121.862,121.88,121.859,121.869,121.915,121.933,121.912,121.923
2016/06/09 06:07:00,121.869,121.872,121.859,121.868,121.923,121.925,121.912,121.921
2016/06/09 06:08:00,121.868,121.88,121.867,121.87,121.921,121.933,121.912,121.923
2016/06/09 06:09:00,121.87,121.923,121.87,121.907,121.923,121.96,121.923,121.949
2016/06/09 06:10:00,121.907,121.936,121.907,121.922,121.949,121.963,121.934,121.935
2016/06/09 06:11:00,121.922,121.925,121.92,121.922,121.935,121.938,121.933,121.935
2016/06/09 06:12:00,121.922,121.942,121.898,121.93,121.935,121.973,121.93,121.97
2016/06/09 06:13:00,121.93,121.945,121.922,121.928,121.97,121.975,121.95,121.965
2016/06/09 06:14:00,121.928,121.958,121.928,121.952,121.965,121.971,121.955,121.965
2016/06/09 06:15:00,121.952,121.959,121.944,121.954,121.965,121.972,121.957,121.967
2016/06/09 06:16:00,121.954,121.954,121.927,121.928,121.967,121.967,121.953,121.965
2016/06/09 06:17:00,121.928,121.942,121.925,121.936,121.965,121.987,121.965,121.977
2016/06/09 06:18:00,121.936,121.949,121.899,121.92,121.977,121.982,121.942,121.964
2016/06/09 06:19:00,121.92,121.923,121.887,121.895,121.964,121.977,121.936,121.968
2016/06/09 06:20:00,121.895,121.899,121.874,121.889,121.968,121.968,121.947,121.947
2016/06/09 06:21:00,121.889,121.905,121.88,121.89,121.947,121.947,121.917,121.938
2016/06/09 06:22:00,121.89,121.911,121.882,121.886,121.938,121.94,121.918,121.928
2016/06/09 06:23:00,121.886,121.906,121.864,121.9,121.928,121.951,121.912,121.913
2016/06/09 06:24:00,121.9,121.903,121.867,121.888,121.913,121.949,121.912,121.924
2016/06/09 06:25:00,121.888,121.905,121.849,121.859,121.924,121.939,121.909,121.91
2016/06/09 06:26:00,121.859,121.877,121.854,121.869,121.91,121.944,121.907,121.94
2016/06/09 06:27:00,121.869,121.88,121.85,121.868,121.94,121.941,121.903,121.921
2016/06/09 06:28:00,121.868,121.868,121.851,121.856,121.921,121.921,121.904,121.909
2016/06/09 06:29:00,121.856,121.877,121.854,121.872,121.909,121.93,121.907,121.919
2016/06/09 06:30:00,121.872,121.881,121.806,121.81,121.919,121.929,121.859,121.864
2016/06/09 06:31:00,121.81,121.868,121.81,121.866,121.864,121.918,121.864,121.917
2016/06/09 06:32:00,121.866,121.904,121.847,121.882,121.917,121.94,121.9,121.931
2016/06/09 06:33:00,121.882,121.908,121.846,121.865,121.931,121.937,121.909,121.912
2016/06/09 06:34:00,121.865,121.868,121.852,121.854,121.912,121.938,121.908,121.917
2016/06/09 06:35:00,121.854,121.891,121.854,121.873,121.917,121.953,121.909,121.936
2016/06/09 06:36:00,121.873,121.881,121.868,121.873,121.936,121.939,121.928,121.932
2016/06/09 06:37:00,121.873,121.893,121.869,121.893,121.932,121.939,121.927,121.936
2016/06/09 06:38:00,121.893,121.917,121.88,121.887,121.936,121.938,121.916,121.932
2016/06/09 06:39:00,121.887,121.911,121.874,121.911,121.932,121.941,121.919,121.924
2016/06/09 06:40:00,121.911,121.916,121.876,121.88,121.924,121.937,121.901,121.923
2016/06/09 06:41:00,121.88,121.919,121.878,121.913,121.923,121.938,121.917,121.926
2016/06/09 06:42:00,121.913,121.914,121.88,121.896,121.926,121.932,121.899,121.909
2016/06/09 06:43:00,121.896,121.896,121.838,121.841,121.909,121.909,121.873,121.88
2016/06/09 06:44:00,121.841,121.843,121.816,121.82,121.88,121.895,121.864,121.878
2016/06/09 06:45:00,121.82,121.855,121.82,121.832,121.878,121.892,121.866,121.883
2016/06/09 06:46:00,121.832,121.864,121.829,121.86,121.883,121.888,121.868,121.873
2016/06/09 06:47:00,121.86,121.866,121.847,121.855,121.873,121.902,121.873,121.9
2016/06/09 06:48:00,121.855,121.878,121.853,121.875,121.9,121.903,121.882,121.888
2016/06/09 06:49:00,121.875,121.877,121.844,121.847,121.888,121.897,121.872,121.895
2016/06/09 06:50:00,121.847,121.863,121.831,121.832,121.895,121.9,121.863,121.889
2016/06/09 06:51:00,121.832,121.855,121.829,121.84,121.889,121.896,121.864,121.893
2016/06/09 06:52:00,121.84,121.867,121.827,121.839,121.893,121.9,121.876,121.895
2016/06/09 06:53:00,121.839,121.869,121.792,121.806,121.895,121.909,121.854,121.868
2016/06/09 06:54:00,121.806,121.891,121.806,121.888,121.868,121.912,121.849,121.901
2016/06/09 06:55:00,121.888,121.888,121.796,121.818,121.901,121.901,121.844,121.877
